Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
A. Morin,Agua Grande,2016,63.0,France,75.0,Blend,Sao Tome,118125.0
A. Morin,Kpime,2015,70.0,France,55.0,Blend,Togo,96250.0
A. Morin,Atsane,2015,70.0,France,60.0,Blend,Togo,105000.0
A. Morin,Akata,2015,70.0,France,70.0,Blend,Togo,122500.0
A. Morin,Quilla,2015,70.0,France,70.0,Blend,Peru,122500.0
A. Morin,Carenero,2014,70.0,France,55.0,Criollo,Venezuela,96250.0
A. Morin,Cuba,2014,70.0,France,70.0,Blend,Cuba,122500.0
A. Morin,Sur del Lago,2014,70.0,France,70.0,Criollo,Venezuela,122500.0
A. Morin,Puerto Cabello,2014,70.0,France,75.0,Criollo,Venezuela,131250.0
A. Morin,Pablino,2014,70.0,France,80.0,Blend,Peru,140000.0
A. Morin,Panama,2013,70.0,France,55.0,Blend,Panama,96250.0
A. Morin,Madagascar,2013,70.0,France,60.0,Criollo,Madagascar,105000.0
A. Morin,Brazil,2013,70.0,France,65.0,Blend,Brazil,113750.0
A. Morin,Equateur,2013,70.0,France,75.0,Blend,Ecuador,131250.0
A. Morin,Colombie,2013,70.0,France,55.0,Blend,Colombia,96250.0
A. Morin,Birmanie,2013,70.0,France,60.0,Blend,Burma,105000.0
A. Morin,Papua New Guinea,2013,70.0,France,65.0,Blend,Papua New Guinea,113750.0
A. Morin,Chuao,2013,70.0,France,80.0,Trinitario,Venezuela,140000.0
A. Morin,Piura,2013,70.0,France,65.0,Blend,Peru,113750.0
A. Morin,Chanchamayo Province,2013,70.0,France,70.0,Blend,Peru,122500.0
A. Morin,Chanchamayo Province,2013,63.0,France,80.0,Blend,Peru,126000.0
A. Morin,Bolivia,2012,70.0,France,70.0,Blend,Bolivia,122500.0
A. Morin,Peru,2012,63.0,France,75.0,Blend,Peru,118125.0
Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A.,75.0,Blend,Peru,131250.0
Acalli,"Tumbes, Norandino",2015,70.0,U.S.A.,75.0,Criollo,Peru,131250.0
Adi,Vanua Levu,2011,60.0,Fiji,55.0,Trinitario,Fiji,82500.0
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55.0,Ecuador,55.0,Forastero (Arriba),Ecuador,75625.0
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,60.0,Forastero (Arriba),Ecuador,105000.0
Ah Cacao,Tabasco,2009,70.0,Mexico,60.0,Criollo,Mexico,105000.0
Alain Ducasse,Trinite,2014,65.0,France,55.0,Trinitario,Trinidad,89375.0
Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,70.0,Forastero (Nacional),Ecuador,122500.0
Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,70.0,"Criollo, Trinitario",Nicaragua,122500.0
Alexandre,Tien Giang,2017,70.0,Netherlands,70.0,Trinitario,Vietnam,122500.0
Alexandre,"Makwale Village, Kyela",2017,70.0,Netherlands,70.0,Forastero,Tanzania,122500.0
Altus aka Cao Artisan,Momotombo,2016,60.0,U.S.A.,55.0,Blend,Nicaragua,82500.0
Altus aka Cao Artisan,Acopagro,2016,60.0,U.S.A.,60.0,Blend,Peru,90000.0
Altus aka Cao Artisan,CIAAB Coop,2016,60.0,U.S.A.,50.0,Blend,Bolivia,75000.0
Altus aka Cao Artisan,Villa Andina,2016,60.0,U.S.A.,50.0,Blend,Peru,75000.0
Altus aka Cao Artisan,Gruppo Salinas,2016,60.0,U.S.A.,55.0,Blend,Ecuador,82500.0
Altus aka Cao Artisan,Sur del Lago,2013,60.0,U.S.A.,50.0,Blend,Venezuela,75000.0
Altus aka Cao Artisan,Conacado,2013,60.0,U.S.A.,60.0,Trinitario,Dominican Republic,90000.0
Altus aka Cao Artisan,Bolivia,2013,60.0,U.S.A.,60.0,Blend,Bolivia,90000.0
Altus aka Cao Artisan,Peru,2013,60.0,U.S.A.,65.0,Blend,Peru,97500.0
Amano,Morobe,2011,70.0,U.S.A.,80.0,Blend,Papua New Guinea,140000.0
Amano,Dos Rios,2010,70.0,U.S.A.,75.0,Blend,Dominican Republic,131250.0
Amano,Guayas,2010,70.0,U.S.A.,80.0,Blend,Ecuador,140000.0
Amano,Chuao,2010,70.0,U.S.A.,60.0,Trinitario,Venezuela,105000.0
Amano,Montanya,2009,70.0,U.S.A.,60.0,Blend,Venezuela,105000.0
Amano,"Bali, Jembrana",2008,70.0,U.S.A.,55.0,Blend,Indonesia,96250.0
